codigo,region,fecha,positivos_acumulados,positivos_nuevos,en_uci,nuevos_pcrs_informados_lab,muertes_acumuladas,muertes_nuevas
11,Aysén,03/28/2020,2,0,,,,
12,Magallanes,03/28/2020,26,4,,,,
15,Arica y Parinacota,03/29/2020,4,1,,,,
1,Tarapacá,03/29/2020,6,1,,,,
2,Antofagasta,03/29/2020,27,2,,,,
3,Atacama,03/29/2020,2,1,,,,
4,Coquimbo,03/29/2020,18,3,,,,
5,Valparaíso,03/29/2020,80,9,,,,
13,Metropolitana,03/29/2020,1167,83,,,,
6,O’Higgins,03/29/2020,21,1,,,,
7,Maule,03/29/2020,42,5,,,,
16,Ñuble,03/29/2020,197,25,,,,
8,Biobío,03/29/2020,185,34,,,,
9,Araucanía,03/29/2020,205,28,,,,
14,Los Ríos,03/29/2020,40,13,,,,
10,Los Lagos,03/29/2020,104,11,,,,
11,Aysén,03/29/2020,2,0,,,,
12,Magallanes,03/29/2020,39,13,,,,
15,Arica y Parinacota,03/30/2020,6,2,,,,
1,Tarapacá,03/30/2020,8,2,,,,
2,Antofagasta,03/30/2020,35,8,,,,
3,Atacama,03/30/2020,2,0,,,,
4,Coquimbo,03/30/2020,27,9,,,,
5,Valparaíso,03/30/2020,108,28,,,,
13,Metropolitana,03/30/2020,1295,128,,,,
6,O’Higgins,03/30/2020,21,0,,,,
7,Maule,03/30/2020,54,12,,,,
16,Ñuble,03/30/2020,229,32,,,,
8,Biobío,03/30/2020,201,16,,,,
9,Araucanía,03/30/2020,247,42,,,,
14,Los Ríos,03/30/2020,47,7,,,,
10,Los Lagos,03/30/2020,128,24,,,,
11,Aysén,03/30/2020,2,0,,,,
12,Magallanes,03/30/2020,39,0,,,,
15,Arica y Parinacota,03/31/2020,6,0,,,,
1,Tarapacá,03/31/2020,10,2,,,,
2,Antofagasta,03/31/2020,35,0,,,,
3,Atacama,03/31/2020,2,0,,,,
4,Coquimbo,03/31/2020,28,1,,,,
5,Valparaíso,03/31/2020,115,7,,,,
13,Metropolitana,03/31/2020,1420,125,,,,
6,O’Higgins,03/31/2020,23,2,,,,
7,Maule,03/31/2020,62,8,,,,
16,Ñuble,03/31/2020,245,16,,,,
8,Biobío,03/31/2020,216,15,,,,
9,Araucanía,03/31/2020,302,55,,,,
14,Los Ríos,03/31/2020,58,11,,,,
10,Los Lagos,03/31/2020,151,23,,,,
11,Aysén,03/31/2020,2,0,,,,
12,Magallanes,03/31/2020,63,24,,,,
15,Arica y Parinacota,04/01/2020,6,0,0,,0,
1,Tarapacá,04/01/2020,10,0,1,,0,
2,Antofagasta,04/01/2020,39,4,3,,0,
3,Atacama,04/01/2020,3,1,0,,0,
4,Coquimbo,04/01/2020,30,2,1,,0,
5,Valparaíso,04/01/2020,136,21,14,,1,
13,Metropolitana,04/01/2020,1521,101,83,,5,
6,O’Higgins,04/01/2020,26,3,5,,0,
7,Maule,04/01/2020,71,9,3,,1,
16,Ñuble,04/01/2020,259,14,7,,0,
8,Biobío,04/01/2020,240,24,14,,2,
9,Araucanía,04/01/2020,343,41,26,,6,
14,Los Ríos,04/01/2020,64,6,1,,1,
10,Los Lagos,04/01/2020,181,30,10,,0,
11,Aysén,04/01/2020,3,1,0,,0,
12,Magallanes,04/01/2020,99,36,5,,0,
15,Arica y Parinacota,04/02/2020,7,1,0,,0,0
1,Tarapacá,04/02/2020,12,2,1,,0,0
2,Antofagasta,04/02/2020,47,8,4,,0,0
3,Atacama,04/02/2020,3,0,0,,0,0
4,Coquimbo,04/02/2020,34,4,1,,0,0
5,Valparaíso,04/02/2020,156,20,17,,1,0
13,Metropolitana,04/02/2020,1636,115,90,,6,1
6,O’Higgins,04/02/2020,32,6,5,,0,0
7,Maule,04/02/2020,82,11,3,,1,0
16,Ñuble,04/02/2020,341,82,8,,0,0
8,Biobío,04/02/2020,275,35,18,,2,0
9,Araucanía,04/02/2020,389,46,29,,7,1
14,Los Ríos,04/02/2020,68,4,2,,1,0
10,Los Lagos,04/02/2020,203,22,12,,0,0
11,Aysén,04/02/2020,5,2,0,,0,0
12,Magallanes,04/02/2020,114,15,10,,0,0
15,Arica y Parinacota,04/03/2020,12,5,0,,0,0
1,Tarapacá,04/03/2020,13,1,1,,0,0
2,Antofagasta,04/03/2020,54,7,3,,0,0
3,Atacama,04/03/2020,5,2,0,,0,0
4,Coquimbo,04/03/2020,35,1,1,,0,0
5,Valparaíso,04/03/2020,176,20,18,,1,0
13,Metropolitana,04/03/2020,1742,106,107,,8,2
6,O’Higgins,04/03/2020,33,1,5,,0,0
7,Maule,04/03/2020,89,7,3,,1,0
16,Ñuble,04/03/2020,370,29,10,,1,1
8,Biobío,04/03/2020,302,27,21,,2,0
9,Araucanía,04/03/2020,432,43,37,,7,0
14,Los Ríos,04/03/2020,78,10,2,,1,0
10,Los Lagos,04/03/2020,234,31,18,,0,0
11,Aysén,04/03/2020,6,1,0,,0,0
12,Magallanes,04/03/2020,156,42,11,,1,1
15,Arica y Parinacota,04/04/2020,12,0,0,,0,0
1,Tarapacá,04/04/2020,17,4,1,,0,0
2,Antofagasta,04/04/2020,55,1,3,,0,0
3,Atacama,04/04/2020,5,0,0,,0,0
4,Coquimbo,04/04/2020,44,9,2,,0,0
5,Valparaíso,04/04/2020,185,9,22,,1,0
13,Metropolitana,04/04/2020,1957,215,129,,9,1
6,O’Higgins,04/04/2020,38,5,5,,0,0
7,Maule,04/04/2020,97,8,3,,1,0
16,Ñuble,04/04/2020,401,31,11,,2,1
8,Biobío,04/04/2020,347,45,24,,2,0
9,Araucanía,04/04/2020,477,45,44,,9,2
14,Los Ríos,04/04/2020,89,11,2,,1,0
10,Los Lagos,04/04/2020,259,25,22,,0,0
11,Aysén,04/04/2020,6,0,0,,0,0
