edad,sexo,region,sospechosos
80 a 84,Mujer,Los Lagos,113
85 a 89,Mujer,Los Lagos,168
90 a 99,Mujer,Los Lagos,118
100 +,Mujer,Los Lagos,14
< 1,Hombre,Aysén,1
1 a 4,Hombre,Aysén,1
5 a 9,Hombre,Aysén,0
10 a 14,Hombre,Aysén,0
15 a 19,Hombre,Aysén,0
20 a 24,Hombre,Aysén,4
25 a 29,Hombre,Aysén,5
30 a 34,Hombre,Aysén,13
35 a 39,Hombre,Aysén,15
40 a 44,Hombre,Aysén,24
45 a 49,Hombre,Aysén,28
50 a 54,Hombre,Aysén,55
55 a 59,Hombre,Aysén,73
60 a 64,Hombre,Aysén,110
65 a 69,Hombre,Aysén,132
70 a 74,Hombre,Aysén,160
75 a 79,Hombre,Aysén,209
80 a 84,Hombre,Aysén,119
85 a 89,Hombre,Aysén,125
90 a 99,Hombre,Aysén,69
100 +,Hombre,Aysén,1
< 1,Mujer,Aysén,1
1 a 4,Mujer,Aysén,2
5 a 9,Mujer,Aysén,0
10 a 14,Mujer,Aysén,1
15 a 19,Mujer,Aysén,0
20 a 24,Mujer,Aysén,1
25 a 29,Mujer,Aysén,5
30 a 34,Mujer,Aysén,6
35 a 39,Mujer,Aysén,5
40 a 44,Mujer,Aysén,11
45 a 49,Mujer,Aysén,17
50 a 54,Mujer,Aysén,25
55 a 59,Mujer,Aysén,34
60 a 64,Mujer,Aysén,58
65 a 69,Mujer,Aysén,90
70 a 74,Mujer,Aysén,116
75 a 79,Mujer,Aysén,141
80 a 84,Mujer,Aysén,113
85 a 89,Mujer,Aysén,168
90 a 99,Mujer,Aysén,118
100 +,Mujer,Aysén,14
< 1,Hombre,Magallanes,1
1 a 4,Hombre,Magallanes,1
5 a 9,Hombre,Magallanes,0
10 a 14,Hombre,Magallanes,0
15 a 19,Hombre,Magallanes,0
20 a 24,Hombre,Magallanes,4
25 a 29,Hombre,Magallanes,5
30 a 34,Hombre,Magallanes,13
35 a 39,Hombre,Magallanes,15
40 a 44,Hombre,Magallanes,24
45 a 49,Hombre,Magallanes,28
50 a 54,Hombre,Magallanes,55
55 a 59,Hombre,Magallanes,73
60 a 64,Hombre,Magallanes,110
65 a 69,Hombre,Magallanes,132
70 a 74,Hombre,Magallanes,160
75 a 79,Hombre,Magallanes,209
80 a 84,Hombre,Magallanes,119
85 a 89,Hombre,Magallanes,125
90 a 99,Hombre,Magallanes,69
100 +,Hombre,Magallanes,1
< 1,Mujer,Magallanes,1
1 a 4,Mujer,Magallanes,2
5 a 9,Mujer,Magallanes,0
10 a 14,Mujer,Magallanes,1
15 a 19,Mujer,Magallanes,0
20 a 24,Mujer,Magallanes,1
25 a 29,Mujer,Magallanes,5
30 a 34,Mujer,Magallanes,6
35 a 39,Mujer,Magallanes,5
40 a 44,Mujer,Magallanes,11
45 a 49,Mujer,Magallanes,17
50 a 54,Mujer,Magallanes,25
55 a 59,Mujer,Magallanes,34
60 a 64,Mujer,Magallanes,58
65 a 69,Mujer,Magallanes,90
70 a 74,Mujer,Magallanes,116
75 a 79,Mujer,Magallanes,141
80 a 84,Mujer,Magallanes,113
85 a 89,Mujer,Magallanes,168
90 a 99,Mujer,Magallanes,118
100 +,Mujer,Magallanes,14
